Vendor_Formal_Name,Vendor_DBA,Contact_Name,telephone,fax,Email,certification,Cert_Renewal_Date,Ethnicity,Address1,Address2,City,State,ZIP,MailingAddress1,MailingAddress2,MailingCity,MailingState,MailingZip,Website,Date_Of_Establishment,Aggregate_Bonding_Limit,Signatory_To_Union_Contracts,Business_Description,Goods_Materials_Suplier,Types_of_Construction_Projects,Job_Exp1_Name_of_Client,Job_Exp1_Value_of_Contract,Job_Exp1_Percent_Self_Performed,DATEOFJOB1,EXPERIENCE1,Job_Exp2_Name_of_Client,Job_Exp2_Value_of_Contract,Job_Exp2_Percent_Self_Performed,DATEOFJOB2,EXPERIENCE2,Job_Exp3_Name_of_Client,Job_Exp3_Value_of_Contract,Job_Exp3_Percent_Self_Performed,DATEOFJOB3,EXPERIENCE3,Job_Exp4_Name_of_Client,Job_Exp4_Value_of_Contract,Job_Exp4_Percent_Self_Performed,DATEOFJOB4,EXPERIENCE4
"Horton Lees Brogden Lighting Design, Inc.",,Joanna Lisiak,2126745580,212 254-2712,jlisiak@hlblighting.com,WBE,,NON-MINORITY,200 Park Avenue South,Suite 1401,New York,NY,10003,200 Park Avenue South,Suite 1401,New York,New York,10003,http://www.hlblighting.com,10/05/1970,,,"We are an internationally recognized design firm with offices in New York, Los Angeles, San Francisco and Boston. The firm specializes in architectural lighting for all project types, including interior and exterior venues. Over forty later the firm has completed projects worldwide. The projects vary in size and complexity and include airports, museums, performing arts centers, academic campus, hospitality/resort, healthcare facilities, bridges, building exteriors, libraries, offices, shopping centers, specialty retail, universities and resort hotels as well as public transportation, public plazas, sports facilities, parks and entertainment facilities. The firm models its services on a few basic tenets; design innovation and excellence, responsiveness to our clients' needs, advanced technical skills, maintainable and pragmatic solutions, creativity and sensitivity to image, function, budget and a commitment to energy-efficient lighting design.",,,Sage and Coombe Architects,111000,,01/03/2008,Architectural lighting design consultation,Gensler,190647,,07/22/2010,Architectural lighting design consultation,JCJ Architects,176500,,10/27/2010,Architectural lighting design consultation,,0,,,
Burgeoning,,Mauricio Espinosa,9092539108,,mde@burgeoningstudio.com,MBE,03/31/2017,HISPANIC,225 Jackson Street,#1,Brooklyn,NY,11211,225 Jackson Street,#1,Brooklyn,New York,11211,http://www.burgeoningstudio.com,10/13/2010,,,"Architecture, planning, and interior design studio.",,,R/GA,3990,,09/01/2011,Performed rendering services and design for event in toronto,MKTG,5477.92,,01/01/2011,"Performed rendering and design services for pop-up shops in NYC, San Francisco, Toronto",R/GA,4842.5,,10/01/2011,Performed rendering and furniture design services for store in NYC,,0,,,
Diakonia Electrical and Construction Corporation,,"Mack Aluns, Jr.",7185858680,845 356-8897,diakonia07@hotmail.com,MBE,08/30/2019,BLACK,199 Lincoln Avenue,,Bronx,NY,10454,199 Lincoln Avenue,,Bronx,New York,10454,http://www.diakoniaecc.com,08/22/2007,,,"Primarily engaged in electrical services: Power, heating, electrical wiring and installations, Low and high voltage.",,,St. Marks UMC,1000,100,04/01/2014,Provide Electrical Services on various occasions.,IMC Call Funeral Home,2186.77,100,03/01/2014,Provide electrical wiring services.,Andrew Cumming,575,100,03/01/2014,Provide electrical wiring and installation services.,,0,,,
"Learner Centered Initiatives, Ltd.",,Giselle O. Martin-Kniep,5165024231,516 502-4233,pattim@lciltd.org,"MBE,WBE",05/31/2019;05/31/2019,HISPANIC,990 Stewart Ave,Suite 450,Garden City,NY,11530,990 Stewart Ave,Suite 450,Garden City,New York,11530,http://www.lciltd.org,06/26/1995,,,"Learner Centered Intiatives is a small consulting firm founded in 1995 that fosters the development of deep, self-sustaining, learner-centered educational environments through our professional development programs, products and services for schools, districts, and educational organizations. LCI's ultimate goal is to engage its clients in learning to develop and sustain their organzational capacity.",,,Questar BOCES,80900,100,05/01/2014,Leadership development and team building program for 200+ Hispanic high school students; training for facilitators of student leadership activities; curriculum revision to increase alignment with CCLS and related training for delegation,Byram Hills,48000,100,05/01/2014,"Processional development work for school leaders and lead teachers around the design and implementation of quality curriculum and assessment across the school district, including work on formative assessment design and use.",Tri State Consortium,82845,100,05/01/2014,"Professional development program centered on the design, validation and refinement of K-12 performance assessment tasks for school teams from 3 different states; facilitate program and capacity building program for selected districts.",,0,,,
"Proposal Pro, Inc.",,Judie Eisenberg,9146333352,8888811061,judie@proposalpro.com,WBE,,NON-MINORITY,409 Sixth Avenue,,Pelham,NY,10803,409 Sixth Avenue,,Pelham,New York,10803,http://www.proposalpro.com,10/31/2001,,,"Professional writing services for organizations responding to Government RFPs; strategic consulting in the area of proposal writing; training and leading workshops in the area of proposal writing, production of training materials including CD training services on effective proposal writing.",,,Hebrew Educational Sociey,2000,,04/01/2012,Proposals to government agencies,Brooklyn Historical Society,5000,,06/01/2012,Proposals to government agencies,Harlem Jumior Tennis and Educational Program,3000,,05/01/2012,Proposals to government agencies,,0,,,
Plus Factory Corp.,,Warren Park,8007740680,888 304-9890,warren@plusfactory.com,MBE,12/31/2018,ASIAN,27 West 24th Street,10 A,New York,NY,10010,27 West 24th Street,10 A,New York,New York,10010,http://www.plusfactory.com,02/20/2007,,,"Full service digital advertising agency specializing in web, social media, mobile services and solutions. Our services include: advertising,  marketing, website, web sites, website cms, Facebook apps, social media, SEO, web applications, design, user interface, user experience, mobile apps, iphone apps, android apps, mobile sites, HTML5, CSS, javascript, beacons and information architecture.",,,,0,,,,,0,,,,,0,,,,,0,,,
JICCPRPLUS LLC,,Janet Hawkins,9148309633,,jiccprplus@yahoo.com,"MBE,WBE",12/30/2019;12/30/2019,BLACK,11 West Prospect Avenue,4th Floor,Mt. Vernon,NY,10550,11 West Prospect Avenue,4th Floor,Mt. Vernon,New York,10550,http://www.jiccprplus.com,12/18/2014,,,"CPR training for adults, infants, child, advanced cardio life support for health care providers, baby sitters and lay persons alike. All instructions are certified by American Heart Association, saving lives is our business.",,,Medical Staffing Network,8000,100,05/01/2013,"Teach CPR classes, choking AED, First Aid, Chest Compression",Hostos Community College,15000,100,01/01/2014,Teach BLS class for infant/child/adult CPR,Mt. Vernon High School,3000,100,01/01/2014,CPR/Infant/Child/Adult Heart Saver First Aid AED Classes,,0,,,
"Fine Group, Inc.",,Greg Singh,9083011040,908 301-1056,gregsingh@fine-nj.com,MBE,12/31/2018,ASIAN,1160 Route 22 West,,Mountainside,NJ,07092,1160 Route 22 West,,Mountainside,New Jersey,07092,http://www.fine-nj.com,07/21/1981,10000000,"DC-11 , DC-9 , IUPAT","Fine is a commercial, industrial specialty coating contractor serving NY, NJ, PA, CT. Services include general interior and exterior painting, decorative finishes, floor coatings, intumescent fireproofing. Our mission is to bring best value to every project with safety, quality and integrity, and over 32 years of experience.",,,Banker Steel,1000000,,01/01/2012,Paint all the structural steel,Hunter Roberts,3000000,,01/01/2012,Painting and wall covering of 450 rooms luxury hotel,Lend Lease,3500000,,01/01/2013,fine proofing of structural steel,,0,,,
"Maestro Technologies, Inc.",,Kamal Bathla,6095209800,732 902-6755,kamal.s.bathla@maestro.com,"MBE,WBE",08/31/2016;08/31/2016,ASIAN,510 Thornall Street,Ste. 375,Edison,NJ,08837,510 Thornall Street,Ste. 375,Edison,New Jersey,08837,http://www.maestro.com,07/08/2003,,,"IT consulting services, programming & development services",,,Project One,200000,,07/01/2010,Consulting services,Amtex,160000,,01/01/2011,Consulting services,Arvato Systems,190000,,02/01/2011,Consulting services,,0,,,
Mon Reve Cultural Diversity,,Jeannine Narcisse,9177415508,,jeanarcisse@optimum.net,"MBE,WBE",08/31/2017;08/31/2017,BLACK,100 Payan Avenue,Suite 211,Valley Stream,NY,11580,111 South Franklin Avenue,Unit 1195,Valley Stream,New York,11582,http://www.monreveculturaldiversity.com,09/22/2002,,,"Company provides consulting, public speaking, training, coaching, and counseling in : Cultural Diversity, Cross-cultural communication, multicultural education, race relations harmony, intercultural conflict resolution, cross-cultural",,,,0,,,,,0,,,,,0,,,,,0,,,
Brace Enterprises LLC,,Clemens Reitzenstein,9175976045,646 253-1258,creitzenstein@bracellc.com,MBE,09/30/2016,HISPANIC,675 West End Avenue,#13 A,New York,NY,10025,775 Columbus Avenue,# 6F,New York,New York,10025,http://www.bracellc.com,09/17/2008,,,"General contractor, construction management, interior and exterior renovations of commercial, resedential and institutional properties.",,,The Hobart Group,294496,,10/01/2010,"Complete office renovation (3000sf) plumbing, electrical, carpentry, metal & glass, millwork, HVAC, flooring",Vivianna Guzman,145000,,09/01/2010,"Complete interior residential renovation, 2 bathrooms, bedroom, kitchen pantry, living room.",City Sun Inc.,325198,,06/01/2009,"Complete retail store renovation (6000sf) plumbing, carpentry, store front, glass, & metal, millwork flooring.",,0,,,
NY Professional Drywall of OC,,Heidi Kremer,8457836973,845 712-2373,heidi@nypdc.com,WBE,,NON-MINORITY,16 Lanzut Court,,Monroe,NY,10950,16 Lanzut Court,,Monroe,New York,10950,http://nypdc.com,01/18/2006,,,"Provide material and service in the following construction trades: metal framing, rought carpentry, insulation, drywalll, accoustic ceilings, metal doors & frames, gypsum underlayment.",,,,0,,,,,0,,,,,0,,,,,0,,,
Gama Flooring & Painting Corp.,,Miquel Pagan,7188206415,718 981-2915,gamaflooring@aol.com,MBE,05/30/2020,HISPANIC,208 Hillside Avenue,,Staten Island,NY,10304,208 Hillside Avenue,,Staten Island,New York,10304,http://statenislandflooringcompany.com,04/23/2012,,,"We are a contracting company, specializing in flooring, from hardwood,  ceramic, carpet, linolium.  We also are a home improvement company, sheetrock, taping, doors, painting, and trim work.",No,Residential Building Construction,Lisa Palermo,6000,100,01/01/2014,500 square feet of 3 1/4 prefinish floors including window casing and door casing,Arlene Martinez,7800,100,11/01/2013,Painted 2 level with custom hardwood runner 700 square foot baseboard to cover total perimeter,Jose Vasquez,6500,100,02/01/2013,Installed 3 1/4 hardwood baseboard and paint 4 rooms - 600 square feet,Jamal Asad,14000,100,03/01/2011,"1200 square feet of hardwood floor, finish with urathane and baseboard all installation"
"3G Warehouse, Inc.",,Lauren Nicols,6316175951,631 617-5954,lauren@3gwhse.com,WBE,,NON-MINORITY,565 Broadhollow Road,Suite 1,Farmingdale,NY,11735,565 Broadhollow Road,Suite 1,Farmingdale,New York,11735,http://www.3gwhsc.com,02/01/2009,,,3rd Party Logistics Company that provides storage & purchasing services to companies in the tri-state area. We can facilitate import/export services. We make g&g product through the supply chain seamless for customers.,,,ITCSNY,100000,,02/01/2012,Inventory control,Sointu,450000,,01/01/2009,Import Services,Rubies Costumes,750000,,01/01/2009,Seasonal over  flow storage,,0,,,
GT Business Supplies LLC,,Jodhan Basanta,7186599165,718 233-2721,jodhanb@gttoner.com,MBE,02/28/2019,HISPANIC,115-13 Linden Boulevard,,South Ozone Park,NY,11420,115-13 Linden Boulevard,,South Ozone Park,New York,11420,http://www.gttoner.com,10/09/2003,,,"Sales, service and supplies to all printers, copiers and faxes, we carry complete line of office supplies and printer parts including technology products.",,,Suny Downstate Medical Ctr.,8000,,01/11/2011,"Provide service to printer, fax or copiers and supply required parts.",NYC-OCME,100000,,02/01/2013,Toner Supply,NYC-DoITT,100000,,07/01/2012,Toners,NYC-HPD,100000,,07/01/2012,Hard Drives
Cousin & Co. Inc.,Cousin & Co.,Undra Duncan,9172144406,,undrad@cousinandco.com,"MBE,WBE",02/28/2017;02/28/2017,BLACK,186 MacDougal Street,,Brooklyn,NY,11233,186 MacDougal Street,,Brooklyn,New York,11233,http://www.cousinandco.com,11/21/2008,,,Cousin & Co is designs and sell contemporary leather handbags and accessories. We currently have a price range between $150 - 400. We sell at boutiques and specialty stores throughout New York and New Jersey. The current assortment is manufactured in NY.,,,Brooklyn Stone Boutique,360,,06/01/2011,Provide Handbags,Searle NYC,1590,,06/01/2011,Provide Handbags,,0,,,,,0,,,
Armand Corporation,Armand of New York,Barbara Armand,2125424179,646-596-7093,admin@armandcorp.com,"MBE,WBE",10/31/2015;10/31/2015,BLACK,1001 Avenue of the Americas,Suite 1222,New York,NY,10018,1815 Garden Avenue,,Cherry Hill,New Jersey,08003,http://www.armandcorp.com,04/16/1991,,,"Construction Management, Project Management, Cost Estimating and Scheduling Services.",,,School District of Philadelphia,4200000,,09/27/2014,Construction Management services for renovations in the School District of Philadelphia,NYC Housing Authority,49395844,,10/15/2012,Construction Management as Agent Services,,0,,,,,0,,,
Spray On Technologies,,Manuel Mena,5164246539,631 608-0585,spraytech29@yahoo.com,MBE,06/30/2017,HISPANIC,565 Oak Street,,Copiague,NY,11726,565 Oak Street,,Copiague,New York,11726,,04/01/2008,,,"Spray On Technology Inc., business provides spray on fire proofing and also insulation, intumescent mastic coating, using products from W.R. grace, (Monokote), Isssssolatek, AIB Intumeescent etc.",,,Triton Construction,299000,,06/01/2010,Spray-on fireproofing,L & M Builders Group LLC,158200,,02/01/2009,Spray-on fireproofing and intumescent,PWV General Contracting,216000,,01/01/2009,Spray-on fireproofing,,0,,,
"High Road Press, LLC",,Hallie Satz,2126756500,212 727-0474,hallie@highroadpress.com,WBE,,NON-MINORITY,233 Spring Street,9th Floor,New York,NY,10013,233 Spring Street,9th Floor,New York,New York,10013,http://www.highroadpress.com,07/24/2004,,,"High Road Press, LLC is a commercial printing company with two 40'' six color offset presses. We offer a full service Pre-Press Department, Plate making Department, Digital Printing Department and Bindery Operation.",,,Pfizer Pharmaceuticals,8375,,03/01/2013,"Die-score, weld-glue, saddle stich, insert Pl's. Shrink wrap 25's",MetLife,17565,,03/01/2013,"Feeder score, cut, fold, saddle stich.",Bloomingdales,83000,,03/01/2013,"Cut, fold, saddle stich, trim 3 sides, with full gate off front cover.",,0,,,
IGM Holdings Inc.,Green Power Associates,Ian Minerve,9174427887,,tobago639@aol.com,MBE,07/31/2016,BLACK,80 Westminster Road,,Brooklyn,NY,11218,80 Westminster Road,,Brooklyn,New York,11218,http://www.greenpoweradvisor.com,05/15/2008,,,"IGM Holdings provides home performance evaluations. Included are safety tests on heating/cooling appliances and vented gas appliances. Tests and repairs on the property's air quality, comfort level (hot or cold roomp) air sealing and insulation installation.",,,The Bird's Nest,800,,06/01/2011,"Air sealed the basement rm joist, windows.  Provided insulation to the walls of the basement.",Jose Cruz,700,,07/01/2010,Air sealed doors and windows. Changed light bulbs from incnadescent to cfls.  Insulated cold bedroom wall.,Troy Kean,300,,05/01/2010,"Air sealed doors.  Caulking basement all around the bedrooms, dining rrom, bathroom, living room room.",,0,,,
D. Paul Construction Inc.,,Dennis Paul,5166446813,516 867-0235,dennis.paul58@yahoo.com,MBE,11/30/2018,BLACK,194 South Brookside Avenue,,Freeport,NY,11520,194 South Brookside Avenue,,Freeport,New York,11520,http://www.dpaulhomeimprovementinc.com,04/16/2008,,,"Residential & commercial construction/repairs, bathrooms renovation, kitchen renovations, tiling, basement, hardwood floor installation, painting, carpentry, plastr compunding.",,,Kenwood Estates,85000,,08/01/2010,Remove deteriorated red cedar exterior siding. Rebuilt steps & decks. Power wash walls prime/paint/caulking,Dave Davoult,30000,,01/01/2013,1st Floor: slab Install new Kitchen/bath room. tile entire. 1st Floor ceramic frame sheet rock/insulate/plaster/moulding/paint/doors,Barry Noda,16829.06,,02/01/2013,"Gut out den, floors walls. Install insulation. Install floor 3/4' plywood, hard wood floor. Tile bathroom & complete bathroom renovation",,0,,,
Simply Spotless LLC,Spotless Touch,Sunita Jadusingh,6462566193,866 997-9706,sunita.jadusingh@gmail.com,"MBE,WBE",08/31/2016;08/31/2016,BLACK,801 Tilden Street,Suite 3J,Bronx,NY,10467,801 Tilden Street,Suite 3J,Bronx,New York,10467,http://www.spotless-touch.com,06/18/2008,50000,,Commercial cleaning company that provides green cleaning products for both commercial and residential spaces,,,Svntn Below Lounge,2500,,08/01/2010,Detail cleaning for lounge space,,0,,,,,0,,,,,0,,,
"Odyssey Transportation, LLC",,Kathi Markou,7183836200,718 383-2177,markou_k@odysseyny.com,WBE,,NON-MINORITY,4339 21st Street,Suite 203,Long Island City,NY,11101,4339 21st Street,Suite 203,Long Island City,New York,11101,http://odysseyny.com,09/01/2002,5000,,"Full service global ground transportation services for corporate accts providing luxury sedans, limousines, suv's vans passenger & cargo min-buses 57 passenger.",,,Goldman Sachs & Co.,0,,01/01/2007,"Corporate transportation, bus shuttles, mini-bus and vans for CTW (Community Team Works).",Department of Homeless Services,4752,,08/01/2007,Transferred dept. employees to bear mtns. and return to NYC.,Deutshe Bank,0,,12/01/2012,Daily Ground Transportation to all employees,Goldman Sachs,0,,12/01/2012,Daily Ground Transportation to all employees
